op,key,latency_ms,status,version,stale
read,key0045,94.024,200,197,false
read,key0040,94.025,200,138,false
read,key0009,97.991,200,146,false
read,key0030,100.557,200,180,false
read,key0007,100.600,200,202,false
read,key0003,101.602,200,169,false
read,key0002,107.989,200,174,false
read,key0001,22.821,200,120,false
read,key0007,12.508,200,202,false
read,key0039,26.802,200,208,false
read,key0016,22.673,200,195,false
read,key0045,7.560,200,197,false
write,key0039,494.308,201,0,false
write,key0006,400.504,201,0,false
write,key0048,494.479,201,0,false
write,key0017,494.765,201,0,false
write,key0025,494.860,201,0,false
write,key0033,495.178,201,0,false
write,key0040,496.204,201,0,false
write,key0011,496.327,201,0,false
write,key0020,496.573,201,0,false
write,key0019,496.530,201,0,false
write,key0025,497.221,201,0,false
write,key0007,497.191,201,0,false
write,key0018,497.602,201,0,false
write,key0020,498.568,201,0,false
write,key0032,403.554,201,0,false
write,key0040,404.893,201,0,false
write,key0012,380.200,201,0,false
read,key0045,9.192,200,197,false
write,key0049,385.291,201,0,false
read,key0004,11.246,200,168,false
read,key0005,7.002,200,201,false
write,key0007,385.563,201,0,false
write,key0006,378.013,201,0,false
read,key0048,2.104,200,206,true
read,key0014,2.528,200,141,false
read,key0029,3.382,200,49,false
read,key0018,4.192,200,211,true
read,key0006,12.433,200,224,true
read,key0015,10.285,200,199,false
read,key0023,1.075,200,160,false
read,key0043,1.253,200,142,false
read,key0006,1.710,200,224,true
read,key0042,1.067,200,192,false
read,key0032,1.792,200,222,true
read,key0033,1.326,200,217,true
read,key0040,0.593,200,219,true
read,key0041,0.973,200,167,false
read,key0020,1.224,200,215,true
read,key0024,0.705,200,137,false
write,key0030,341.772,201,0,false
read,key0047,2.072,200,227,false
read,key0005,1.095,200,201,false
write,key0003,350.045,201,0,false
read,key0022,1.186,200,134,false
write,key0043,339.850,201,0,false
write,key0018,352.039,201,0,false
write,key0030,350.034,201,0,false
write,key0034,350.383,201,0,false
write,key0019,352.190,201,0,false
write,key0027,338.402,201,0,false
write,key0011,341.915,201,0,false
read,key0040,2.560,200,219,true
write,key0039,339.708,201,0,false
write,key0049,343.372,201,0,false
write,key0035,343.077,201,0,false
write,key0020,337.542,201,0,false
write,key0023,352.710,201,0,false
write,key0016,343.628,201,0,false
write,key0044,339.672,201,0,false
write,key0032,355.427,201,0,false
write,key0047,355.088,201,0,false
write,key0013,337.275,201,0,false
write,key0038,338.577,201,0,false
read,key0007,6.193,200,220,true
read,key0012,6.083,200,223,true
read,key0011,6.107,200,234,true
read,key0016,6.077,200,237,true
read,key0015,6.330,200,199,false
read,key0028,6.357,200,173,false
read,key0011,8.739,200,234,true
read,key0021,7.616,200,196,false
read,key0048,8.815,200,206,true
read,key0018,6.312,200,230,true
read,key0014,3.211,200,141,false
read,key0049,6.957,200,236,true
read,key0008,9.992,200,155,false
read,key0023,3.957,200,231,true
read,key0046,4.072,200,98,false
read,key0024,9.990,200,137,false
read,key0045,3.989,200,197,false
read,key0036,4.114,200,194,false
read,key0020,9.988,200,243,true
read,key0035,10.539,200,238,true
read,key0041,3.922,200,167,false
read,key0024,1.048,200,137,false
read,key0006,1.126,200,224,true
read,key0033,1.406,200,217,true
read,key0025,1.664,200,210,true
read,key0046,1.917,200,98,false
read,key0022,1.560,200,134,false
read,key0028,1.753,200,173,false
read,key0037,4.977,200,203,false
read,key0034,0.471,200,226,true
write,key0032,310.735,201,0,false
write,key0011,309.999,201,0,false
read,key0012,0.702,200,223,true
read,key0023,0.534,200,260,true
read,key0028,0.522,200,173,false
write,key0032,335.238,201,0,false
write,key0039,335.707,201,0,false
write,key0009,332.372,201,0,false
write,key0031,335.426,201,0,false
write,key0005,338.798,201,0,false
write,key0035,338.996,201,0,false
write,key0040,335.686,201,0,false
write,key0003,336.181,201,0,false
write,key0013,338.718,201,0,false
read,key0048,13.348,200,206,true
read,key0033,13.472,200,217,true
read,key0010,13.758,200,198,false
read,key0023,13.463,200,260,true
read,key0043,10.624,200,235,true
read,key0017,10.614,200,216,true
write,key0030,341.497,201,0,false
write,key0029,337.673,201,0,false
read,key0015,10.632,200,199,false
write,key0023,345.535,201,0,false
read,key0034,13.702,200,226,true
write,key0018,348.936,201,0,false
write,key0046,354.763,201,0,false
write,key0041,347.643,201,0,false
read,key0039,12.078,200,247,true
write,key0006,354.775,201,0,false
write,key0028,355.048,201,0,false
write,key0043,355.042,201,0,false
read,key0035,12.668,200,251,true
read,key0040,12.646,200,254,true
read,key0010,13.037,200,198,false
read,key0044,6.827,200,241,true
read,key0039,6.903,200,247,true
read,key0020,3.908,200,243,true
write,key0014,310.221,201,0,false
write,key0030,308.687,201,0,false
read,key0020,6.220,200,243,true
write,key0001,346.290,201,0,false
write,key0011,357.319,201,0,false
read,key0027,1.359,200,240,true
read,key0041,1.816,200,264,true
write,key0032,361.410,201,0,false
write,key0008,363.015,201,0,false
write,key0013,363.158,201,0,false
write,key0042,358.962,201,0,false
write,key0036,352.582,201,0,false
read,key0020,4.934,200,243,true
read,key0025,2.149,200,210,true
read,key0002,5.003,200,174,false
write,key0009,353.334,201,0,false
write,key0033,369.233,201,0,false
write,key0009,342.320,201,0,false
write,key0017,353.772,201,0,false
write,key0003,353.706,201,0,false
write,key0033,353.302,201,0,false
write,key0022,346.356,201,0,false
write,key0018,365.731,201,0,false
write,key0032,353.758,201,0,false
write,key0039,349.794,201,0,false
write,key0030,354.552,201,0,false
read,key0000,1.814,200,126,false
read,key0007,2.172,200,220,true
read,key0030,1.920,200,279,true
read,key0021,1.930,200,196,false
read,key0028,2.798,200,257,true
read,key0025,2.026,200,210,true
read,key0026,1.948,200,185,false
read,key0046,2.116,200,256,true
read,key0000,4.224,200,126,false
read,key0017,1.749,200,280,true
read,key0048,1.429,200,206,true
read,key0017,3.471,200,280,true
read,key0017,2.170,200,280,true
write,key0021,314.011,201,0,false
write,key0000,320.249,201,0,false
write,key0022,315.659,201,0,false
write,key0044,313.711,201,0,false
read,key0031,1.864,200,248,true
read,key0023,1.222,200,260,true
read,key0005,0.719,200,253,true
write,key0047,326.093,201,0,false
write,key0032,323.005,201,0,false
write,key0015,321.010,201,0,false
read,key0017,9.541,200,280,true
write,key0000,329.029,201,0,false
read,key0045,9.748,200,197,false
read,key0010,11.388,200,198,false
write,key0025,332.503,201,0,false
write,key0003,329.219,201,0,false
write,key0015,332.611,201,0,false
read,key0043,3.952,200,259,true
read,key0000,2.428,200,294,true
write,key0016,334.595,201,0,false
write,key0005,328.701,201,0,false
write,key0003,330.756,201,0,false
write,key0038,330.796,201,0,false
write,key0001,326.766,201,0,false
write,key0003,332.887,201,0,false
write,key0046,329.639,201,0,false
write,key0011,334.793,201,0,false
write,key0030,336.235,201,0,false
read,key0041,2.983,200,264,true
read,key0039,1.479,200,276,true
read,key0002,1.484,200,174,false
read,key0028,1.492,200,257,true
read,key0017,1.393,200,280,true
read,key0003,1.514,200,302,true
read,key0006,1.447,200,258,true
read,key0048,2.117,200,206,true
read,key0008,1.265,200,269,true
read,key0032,1.265,200,290,true
read,key0017,1.480,200,280,true
read,key0015,3.045,200,296,true
read,key0030,1.732,200,298,true
write,key0037,310.829,201,0,false
write,key0029,310.854,201,0,false
write,key0043,318.855,201,0,false
write,key0039,315.937,201,0,false
read,key0042,0.703,200,272,true
read,key0040,0.708,200,254,true
read,key0016,0.946,200,295,true
read,key0005,0.384,200,301,true
read,key0046,0.355,200,303,true
write,key0011,322.128,201,0,false
write,key0006,322.949,201,0,false
write,key0002,321.892,201,0,false
write,key0043,323.420,201,0,false
write,key0031,320.975,201,0,false
write,key0008,321.050,201,0,false
write,key0034,326.444,201,0,false
write,key0020,321.458,201,0,false
write,key0030,323.314,201,0,false
write,key0039,329.084,201,0,false
write,key0034,329.042,201,0,false
read,key0018,2.433,200,281,true
read,key0044,3.491,200,288,true
write,key0026,325.114,201,0,false
read,key0029,7.194,200,324,true
read,key0013,7.059,200,270,true
read,key0032,7.690,200,290,true
read,key0032,5.586,200,290,true
write,key0049,328.843,201,0,false
read,key0011,8.021,200,309,true
write,key0001,325.048,201,0,false
write,key0029,325.043,201,0,false
write,key0035,331.245,201,0,false
read,key0014,11.681,200,265,true
read,key0008,11.403,200,317,true
